,year,month,day,time_cat,time_num,time_cos,time_sin,day_cat,day_num,day_cos,day_sin,weekend,x_start,y_start,z_start,location_start,location_end
0,2017,3,22,16.833333333333332:49.999999999999886,0.7777777777777776,0.17364817766692908,-0.9848077530122082,Wednesday,0.3968253968253968,-0.7971325072229222,0.6038044103254777,0,-0.46071270140137394,-0.12060848964594671,0.8793164384866077,eyckx6e80,eycs8byzz
1,2017,5,24,12.333333333333334:20.0,0.5694444444444444,-0.90630778703665,-0.4226182617406993,Wednesday,0.3670634920634921,-0.6709814279859703,0.7414741555158266,0,0.6129766080257041,-0.7382367721839902,-0.28154244122097377,u0qjdqxen,u0qjf9jxq
2,2017,5,24,12.35:21.0,0.5708333333333333,-0.9025852843498607,-0.43051109680829486,Wednesday,0.36726190476190473,-0.6719052752891256,0.7406370913197936,0,0.6129766080257041,-0.7382367721839902,-0.28154244122097377,u0qjdqxen,u0qjf9jxq
3,2017,5,24,12.35:21.0,0.5708333333333333,-0.9025852843498607,-0.43051109680829486,Wednesday,0.36726190476190473,-0.6719052752891256,0.7406370913197936,0,0.6129766080257041,-0.7382367721839902,-0.28154244122097377,u0qjdqxen,u0qjf9jxq
4,2017,5,24,12.35:21.0,0.5708333333333333,-0.9025852843498607,-0.43051109680829486,Wednesday,0.36726190476190473,-0.6719052752891256,0.7406370913197936,0,0.6129766080257041,-0.7382367721839902,-0.28154244122097377,u0qjdqxen,u0qjf9jxq
5,2017,5,24,12.35:21.0,0.5708333333333333,-0.9025852843498607,-0.43051109680829486,Wednesday,0.36726190476190473,-0.6719052752891256,0.7406370913197936,0,0.6129766080257041,-0.7382367721839902,-0.28154244122097377,u0qjdqxen,u0qjf9jxq
6,2017,5,24,12.35:21.0,0.5708333333333333,-0.9025852843498607,-0.43051109680829486,Wednesday,0.36726190476190473,-0.6719052752891256,0.7406370913197936,0,0.6129766080257041,-0.7382367721839902,-0.28154244122097377,u0qjdqxen,u0qjf9jxq
7,2017,5,24,12.366666666666667:22.0,0.5722222222222222,-0.8987940462991671,-0.43837114678907707,Wednesday,0.36746031746031743,-0.6728280783370528,0.7397988760475841,0,0.6129766080257041,-0.7382367721839902,-0.28154244122097377,u0qjdqxen,u0qjf9jxq
8,2017,5,24,12.366666666666667:22.0,0.5722222222222222,-0.8987940462991671,-0.43837114678907707,Wednesday,0.36746031746031743,-0.6728280783370528,0.7397988760475841,0,0.6129766080257041,-0.7382367721839902,-0.28154244122097377,u0qjdqxen,u0qjf9jxq
9,2017,5,24,12.366666666666667:22.0,0.5722222222222222,-0.8987940462991671,-0.43837114678907707,Wednesday,0.36746031746031743,-0.6728280783370528,0.7397988760475841,0,0.6129766080257041,-0.7382367721839902,-0.28154244122097377,u0qjdqxen,u0qjf9jxq
10,2017,5,24,12.383333333333333:23.0,0.5736111111111111,-0.8949343616020252,-0.4461978131098084,Wednesday,0.36765873015873013,-0.6737498356955584,0.7389595110019278,0,0.6129766080257041,-0.7382367721839902,-0.28154244122097377,u0qjdqxen,u0qjf9jxq
11,2017,5,24,12.383333333333333:23.0,0.5736111111111111,-0.8949343616020252,-0.4461978131098084,Wednesday,0.36765873015873013,-0.6737498356955584,0.7389595110019278,0,0.6129766080257041,-0.7382367721839902,-0.28154244122097377,u0qjdqxen,u0qjf9jxq
12,2017,5,24,12.383333333333333:23.0,0.5736111111111111,-0.8949343616020252,-0.4461978131098084,Wednesday,0.36765873015873013,-0.6737498356955584,0.7389595110019278,0,0.6129766080257041,-0.7382367721839902,-0.28154244122097377,u0qjdqxen,u0qjf9jxq
13,2017,5,24,12.383333333333333:23.0,0.5736111111111111,-0.8949343616020252,-0.4461978131098084,Wednesday,0.36765873015873013,-0.6737498356955584,0.7389595110019278,0,0.6129766080257041,-0.7382367721839902,-0.28154244122097377,u0qjdqxen,u0qjf9jxq
14,2017,5,24,12.383333333333333:23.0,0.5736111111111111,-0.8949343616020252,-0.4461978131098084,Wednesday,0.36765873015873013,-0.6737498356955584,0.7389595110019278,0,0.6129766080257041,-0.7382367721839902,-0.28154244122097377,u0qjdqxen,u0qjf9jxq
15,2017,5,24,12.383333333333333:23.0,0.5736111111111111,-0.8949343616020252,-0.4461978131098084,Wednesday,0.36765873015873013,-0.6737498356955584,0.7389595110019278,0,0.6129766080257041,-0.7382367721839902,-0.28154244122097377,u0qjdqxen,u0qjf9jxq
16,2017,5,24,12.4:24.0,0.575,-0.8910065241883681,-0.45399049973954625,Wednesday,0.3678571428571429,-0.6746705459320743,0.7381189974873407,0,0.6129766080257041,-0.7382367721839902,-0.28154244122097377,u0qjdqxen,u0qjf9jxq
17,2017,5,24,12.4:24.0,0.575,-0.8910065241883681,-0.45399049973954625,Wednesday,0.3678571428571429,-0.6746705459320743,0.7381189974873407,0,0.6129766080257041,-0.7382367721839902,-0.28154244122097377,u0qjdqxen,u0qjf9jxq
18,2017,5,24,12.4:24.0,0.575,-0.8910065241883681,-0.45399049973954625,Wednesday,0.3678571428571429,-0.6746705459320743,0.7381189974873407,0,0.6129766080257041,-0.7382367721839902,-0.28154244122097377,u0qjdqxen,u0qjf9jxq
19,2017,5,24,12.4:24.0,0.575,-0.8910065241883681,-0.45399049973954625,Wednesday,0.3678571428571429,-0.6746705459320743,0.7381189974873407,0,0.6129766080257041,-0.7382367721839902,-0.28154244122097377,u0qjdqxen,u0qjf9jxq
